:LABEL,valid_until,country_codes,countries,node_id:ID,sourceID,name,jurisdiction_description,service_provider,jurisdiction,closed_date,incorporation_date,ibcRUC,type,status,company_type,note
Intermediary,Appleby data is current through 2014,IMN,Isle of Man,80047070,Paradise Papers - Appleby,Charlemagne Capital (IOM) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,IMN,Isle of Man,80047141,Paradise Papers - Appleby,Charterhouse Corporate Services Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80047358,Paradise Papers - Appleby,Chemical Mellon Shareholder,,,,,,,,,,
Intermediary,Appleby data is current through 2014,BMU,Bermuda,80049953,Paradise Papers - Appleby,Citco Fund Services (Bermuda) Ltd,,,,,,,,,,
Intermediary,Appleby data is current through 2014,BMU,Bermuda,80050056,Paradise Papers - Appleby,"Citi Hedge Fund Services, Ltd.",,,,,,,,,,
Intermediary,Appleby data is current through 2014,IMN,Isle of Man,80050816,Paradise Papers - Appleby,CM Management (IOM) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80050997,Paradise Papers - Appleby,Codan Managements (B.V.I) Ltd.,,,,,,,,,,
Intermediary,Appleby data is current through 2014,SGP,Singapore,80051579,Paradise Papers - Appleby,Intertrust Singapore Corporate Services Pte. Ltd.,,,,,,,,,,
Intermediary,Appleby data is current through 2014,USA,United States,80051643,Paradise Papers - Appleby,Computershare Investor Services LLC,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80051645,Paradise Papers - Appleby,Computershare Investor Services (Bermuda) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,USA,United States,80051646,Paradise Papers - Appleby,Computershare,,,,,,,,,,
Intermediary,Appleby data is current through 2014,USA,United States,80051647,Paradise Papers - Appleby,Computershare - Providence,,,,,,,,,,
Intermediary,Appleby data is current through 2014,JEY,Jersey,80051650,Paradise Papers - Appleby,Computershare Investor Sevices (Jersey) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,GBR,United Kingdom,80051652,Paradise Papers - Appleby,Computershare Investor Services PLC,,,,,,,,,,
Intermediary,Appleby data is current through 2014,USA,United States,80051655,Paradise Papers - Appleby,Computershare,,,,,,,,,,
Intermediary,Appleby data is current through 2014,USA,United States,80051656,Paradise Papers - Appleby,Computershare Trust Company N. A.,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80051657,Paradise Papers - Appleby,Computershare Investor Services (Channel Islands) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,USA,United States,80051948,Paradise Papers - Appleby,Continental Stock Transfer and Trust Company,,,,,,,,,,
Intermediary,Appleby data is current through 2014,SGP,Singapore,80054410,Paradise Papers - Appleby,Daiwa Securities SMBC Singapore Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80056554,Paradise Papers - Appleby,Deutsche Bank (Cayman) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,IMN,Isle of Man,80058657,Paradise Papers - Appleby,Duncan Lawrie Offshore Services Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,BMU,Bermuda,80058675,Paradise Papers - Appleby,Dundee Leeds Management Services Ltd.,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80060422,Paradise Papers - Appleby,Appleby - Jersey,,,,,,,,,,
Intermediary,Appleby data is current through 2014,IND;CHE,India;Switzerland,80060453,Paradise Papers - Appleby,Khemka - Shiv Vikram,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80060564,Paradise Papers - Appleby,Mossack Fonseca & Co (BVI) Ltd,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80060903,Paradise Papers - Appleby,HWR Services Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,USA,United States,80060924,Paradise Papers - Appleby,Kinney - James N,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80061003,Paradise Papers - Appleby,Mossack Fonseca & Co (Bahamas) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80062138,Paradise Papers - Appleby,Allenby Capital Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80062320,Paradise Papers - Appleby,Capita Registrars (Jersey) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80063063,Paradise Papers - Appleby,"EquiServe Trust Company, N. A.",,,,,,,,,,
Intermediary,Appleby data is current through 2014,CAN,Canada,80063076,Paradise Papers - Appleby,Equity Transfer & Trust Company,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80065070,Paradise Papers - Appleby,Fidelis Trust & Corporate Services Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,SYC,Seychelles,80065089,Paradise Papers - Appleby,Fidelity Corporate Services (Seychelles) Ltd,,,,,,,,,,
Intermediary,Appleby data is current through 2014,MUS,Mauritius,80067409,Paradise Papers - Appleby,Frontiere Finance Ltd,,,,,,,,,,
Intermediary,Appleby data is current through 2014,USA,United States,80067873,Paradise Papers - Appleby,Futures Clearing Broker,,,,,,,,,,
Intermediary,Appleby data is current through 2014,GGY,Guernsey,80069418,Paradise Papers - Appleby,Butterfield Fulcrum Group (Guernsey) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80072107,Paradise Papers - Appleby,Greystone LLC,,,,,,,,,,
Intermediary,Appleby data is current through 2014,IMN,Isle of Man,80072109,Paradise Papers - Appleby,Greystone Trust Company,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80074932,Paradise Papers - Appleby,Harneys Corporate Services Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80076203,Paradise Papers - Appleby,Hemery Trust (Mauritius) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80078176,Paradise Papers - Appleby,Hong Kong Registrars Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80078918,Paradise Papers - Appleby,HSBC Trustee (Cayman) Limited - Grand Cayman,,,,,,,,,,
Intermediary,Appleby data is current through 2014,BMU,Bermuda,80078929,Paradise Papers - Appleby,HSBC Bank Bermuda Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80080272,Paradise Papers - Appleby,HWR Services Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80080564,Paradise Papers - Appleby,First Names (Isle of Man) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80080680,Paradise Papers - Appleby,ILS Fiduciary (BVI) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,GBR,United Kingdom,80080817,Paradise Papers - Appleby,CAPITA REGISTRARS LIMITED,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80081139,Paradise Papers - Appleby,Strasburger Price Oppenheimer Blend,,,,,,,,,,
Intermediary,Appleby data is current through 2014,IMN,Isle of Man,80081212,Paradise Papers - Appleby,Inter-Continental Management Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,IMN,Isle of Man,80081357,Paradise Papers - Appleby,Intrust (Manx) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,IMN,Isle of Man,80081462,Paradise Papers - Appleby,IOMA Financial Trust Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80081464,Paradise Papers - Appleby,IoM Corporate Solutions Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,JEY,Jersey,80081563,Paradise Papers - Appleby,CAPITA REGISTRARS (JERSEY) LIMITED,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80084094,Paradise Papers - Appleby,Jordans (Caribbean) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80084097,Paradise Papers - Appleby,Jordans Trust Company (BVI) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,GGY,Guernsey,80084329,Paradise Papers - Appleby,JTC (Guernsey) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80085454,Paradise Papers - Appleby,KCS Trust Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80086211,Paradise Papers - Appleby,Kessler - Hermann Jose Monteiro,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80089153,Paradise Papers - Appleby,Appleby Trust (Cayman) Ltd. (formerly Appleby Corporate Services (Cayman) Limited),,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80089192,Paradise Papers - Appleby,Computershare Hong Kong Investor Services Limited - Hong Kong Branch Registrar,,,,,,,,,,
Intermediary,Appleby data is current through 2014,GGY,Guernsey,80091972,Paradise Papers - Appleby,Legis Group Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80093633,Paradise Papers - Appleby,Lim Associates (Pte) Ltd,,,,,,,,,,
Intermediary,Appleby data is current through 2014,CYM,Cayman Islands,80093974,Paradise Papers - Appleby,Lindsay - Alan Peter,,,,,,,,,,
Intermediary,Appleby data is current through 2014,HKG,Hong Kong,80095237,Paradise Papers - Appleby,Lo - Man Un,,,,,,,,,,
