:LABEL,valid_until,country_codes,countries,node_id:ID,sourceID,name,jurisdiction_description,service_provider,jurisdiction,closed_date,incorporation_date,ibcRUC,type,status,company_type,note
Other,Appleby data is current through 2014,,,80013219,Paradise Papers - Appleby,Vasco Strategic Fund SPC,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013415,Paradise Papers - Appleby,Ralph Ellis Limited,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013443,Paradise Papers - Appleby,South Coast Limited,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013448,Paradise Papers - Appleby,Lido Finance Corporation,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013480,Paradise Papers - Appleby,Chesterdale Investments Limited,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013487,Paradise Papers - Appleby,A.C. Investments (Cayman) Limited,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013503,Paradise Papers - Appleby,SUNSET MARITIME LIMITED,,,,,,,,,,
Other,Appleby data is current through 2014,,,80013519,Paradise Papers - Appleby,The Company Ltd.,,,,,,,,,,
Other,Appleby data is current through 2014,,,80013555,Paradise Papers - Appleby,THE BARRASPUR TRUST,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013557,Paradise Papers - Appleby,DAB TRUST DECLARATION OF TRUST,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013600,Paradise Papers - Appleby,Green Meadow Trust,,,,,,,,,,
Other,Appleby data is current through 2014,,,80013601,Paradise Papers - Appleby,The Los Condores Discretionary Trust,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013623,Paradise Papers - Appleby,The Hambly Trust,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013648,Paradise Papers - Appleby,M.J. Knight Trust,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013650,Paradise Papers - Appleby,A.C. Wates 1971 Settlement,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013655,Paradise Papers - Appleby,The Esquire Trust,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013659,Paradise Papers - Appleby,Pine Tree Trust,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013661,Paradise Papers - Appleby,Global Educational Trust No.1,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013693,Paradise Papers - Appleby,MACAJA Trust,,,,,,,,,,
Other,Appleby data is current through 2014,,,80013700,Paradise Papers - Appleby,The Niemo II Trust,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013775,Paradise Papers - Appleby,Myers & Alberga - ABATCO TRUST,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80013815,Paradise Papers - Appleby,Isle of Man Bank Limited,,,,,,,,,,
Other,Appleby data is current through 2014,,,80013820,Paradise Papers - Appleby,PELICAN INVESTMENT CO. LTD,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013824,Paradise Papers - Appleby,Kolad Investments - ABATCO TRUST,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013840,Paradise Papers - Appleby,The Gloriannaco Purpose Trust,,,,,,,,,,
Other,Appleby data is current through 2014,,,80013841,Paradise Papers - Appleby,The Soren Purpose Trust,,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80013920,Paradise Papers - Appleby,Transcontinental Company Ltd,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80013964,Paradise Papers - Appleby,DQ Entertainment Plc,,,,,,,,,,
Other,Appleby data is current through 2014,GGY,Guernsey,80014301,Paradise Papers - Appleby,Appleby Holdings (Guernsey) Limited - Guernsey,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80014313,Paradise Papers - Appleby,Cuprum Resources Limited,,,,,,,,,,
Other,Appleby data is current through 2014,,,80014372,Paradise Papers - Appleby,New Century Hotel Group Limited 開元酒店集團有限公司,,,,,,,,,,
Other,Appleby data is current through 2014,LVA,Latvia,80014397,Paradise Papers - Appleby,Zverinata Advokata Andra Grutupa Birojs,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80014599,Paradise Papers - Appleby,Power India Plc,,,,,,,,,,
